顺位,用时,开始时间,牌普,一号玩家,一位得点,二号玩家,二位得点,三号玩家,三位得点,四号玩家,四位得点
4位,41,2019-11-18 11:48:00,,虚無っぽ,40.0,°Tororo°,9.0,Ataku,-17.0,！ぼたもち！,-32.0
4位,33,2019-11-19 06:33:00,,ダブルドラゴン☆,59.0,！ぼたもち！,8.0,kz091206,-26.0,妃龍,-41.0
4位,22,2019-11-19 07:56:00,,ssssllll,48.0,saoichi,9.0,gobo_okk,-15.0,！ぼたもち！,-42.0
4位,36,2019-11-19 11:49:00,,tatsushi,51.0,８prince,19.0,！ぼたもち！,-10.0,脚は洗い手は染る,-60.0
4位,24,2019-11-19 16:39:00,,hgy,48.0,！ぼたもち！,12.0,taku304,-22.0,Shun-Nu☆,-38.0
4位,17,2019-11-20 07:00:00,,seth,46.0,氷のA,8.0,TS1104,-18.0,！ぼたもち！,-36.0
4位,32,2019-11-20 11:56:00,,！ぼたもち！,60.0,ドラ爆戦隊赤隊員,12.0,俺の名はワルダー,-20.0,どぅぅ,-52.0
4位,10,2019-11-21 11:56:00,,CAVERN-1,42.0,一刀修羅.,9.0,ムーミンパパ,-17.0,！ぼたもち！,-34.0
4位,33,2019-11-21 16:21:00,,！ぼたもち！,49.0,麻美レイ,4.0,famii,-17.0,待って,-36.0
4位,38,2019-11-22 09:37:00,,はぶ,59.0,ワ・カ・メ,0.0,company2,-23.0,！ぼたもち！,-36.0
4位,21,2019-11-22 15:53:00,,ささぼん,42.0,カンテ,12.0,mariko,-20.0,！ぼたもち！,-34.0
4位,36,2019-11-22 16:16:00,,暹星弋海,49.0,！ぼたもち！,12.0,雀キチP,-21.0,NS5,-40.0
4位,30,2019-11-23 00:25:00,,ロイヤルろーとむ,50.0,kazuaki,6.0,絶対振らない麻雀,-19.0,！ぼたもち！,-37.0
4位,39,2019-11-23 14:51:00,,lpwers14,49.0,！ぼたもち！,8.0,たこ☆焼き,-21.0,takoru,-36.0
4位,40,2019-11-23 19:17:00,,かめあ,46.0,むちむちポーク,9.0,macro2,-18.0,！ぼたもち！,-37.0
4位,65,2019-11-24 08:54:00,,！ぼたもち！,71.0,mitu1937,6.0,詩,-32.0,あらあらあらら,-45.0
4位,25,2019-11-25 00:00:00,,イサピン,52.0,迫真麻雀レープ,4.0,1300ALL,-23.0,！ぼたもち！,-33.0
4位,69,2019-11-25 23:26:00,,！ぼたもち！,58.0,キャッピー,9.0,武羅雲,-17.0,溜息ハギー,-50.0
4位,40,2019-11-26 07:39:00,,煎妙師薙皇,50.0,キャスバル爺さん,16.0,！ぼたもち！,-19.0,千寿＠船橋,-47.0
4位,28,2019-11-26 17:12:00,,！ぼたもち！,67.0,coqui,4.0,Zero3,-21.0,sora0309,-50.0
4位,27,2019-11-27 18:13:00,,YUTAROFM,56.0,！ぼたもち！,6.0,リーチザミリオン,-19.0,TOSHICHA,-43.0
4位,31,2019-11-27 20:27:00,,ネット店長,47.0,！ぼたもち！,12.0,夜凜1101,-22.0,wtcjacky,-37.0
4位,44,2019-11-27 23:57:00,,！ぼたもち！,44.0,全自動猫じゃらし,13.0,sas1314,-18.0,ドムドムバーガー,-39.0
4位,24,2019-11-28 17:27:00,,！ぼたもち！,51.0,ハイライト青,9.0,JSJL_62,-14.0,尺八娘ペロッ子,-46.0
4位,38,2019-11-28 22:37:00,,ksk_y,55.0,suuuzuki,9.0,！ぼたもち！,-12.0,yonetake,-52.0
4位,34,2019-11-29 15:38:00,,cfghyu,42.0,kokeshi,10.0,Snakeman,-18.0,！ぼたもち！,-34.0
4位,31,2019-11-29 17:44:00,,！ぼたもち！,51.0,atakapap,14.0,月茶,-18.0,むらっちょ,-47.0
4位,38,2019-12-01 11:59:00,,！ぼたもち！,46.0,さぎたろう,6.0,たいっきー,-18.0,snsznsss,-34.0
4位,18,2019-12-02 00:13:00,,CK2015,44.0,！ぼたもち！,13.0,simirin1,-22.0,z6cxqf,-35.0
4位,25,2019-12-02 16:55:00,,118181,50.0,nim,6.0,！ぼたもち！,-17.0,まっくす1211,-39.0
4位,22,2019-12-02 17:23:00,,iichan,41.0,Sharock,10.0,ウォーニング,-11.0,！ぼたもち！,-40.0
4位,27,2019-12-03 13:41:00,,2015pon,52.0,！ぼたもち！,11.0,Tetuyama,-22.0,￥Ｆｉｔ￥,-41.0
4位,39,2019-12-03 16:24:00,,大平智志,42.0,！ぼたもち！,9.0,男爵,-15.0,Boats,-36.0
4位,16,2019-12-03 17:12:00,,xenoyama,55.0,NO1俺,23.0,！ぼたもち！,-26.0,剣客商売2017,-52.0
4位,21,2019-12-08 11:11:00,,かとーしょーてん,58.0,かさり,25.0,！ぼたもち！,-22.0,wer.,-61.0
4位,43,2019-12-08 12:56:00,,NasubJi,66.0,bellboy,10.0,reon,-32.0,！ぼたもち！,-44.0
4位,39,2019-12-08 13:40:00,,武志,51.0,@gamadas,7.0,takleta,-21.0,！ぼたもち！,-37.0
4位,31,2019-12-13 11:53:00,,ヒッキーシェイク,42.0,machidad,10.0,米店,-11.0,！ぼたもち！,-41.0
4位,34,2019-12-13 12:25:00,,arugo,52.0,むちむち,8.0,！ぼたもち！,-20.0,清掃員N,-40.0
4位,29,2019-12-13 16:02:00,,pbfe1121,66.0,くまわる,10.0,！ぼたもち！,-13.0,take3886,-63.0
4位,22,2019-12-14 09:27:00,,！ぼたもち！,62.0,shing03,24.0,昇,-32.0,白筑慕Shino,-54.0
4位,25,2019-12-14 10:10:00,,！ぼたもち！,43.0,じゅんたろう,7.0,dddaikid,-16.0,COCO1,-34.0
4位,20,2019-12-14 23:05:00,,！ぼたもち！,44.0,かずーん,10.0,jeto,-17.0,えいかのじょー,-37.0
4位,37,2019-12-14 23:27:00,,saltin,58.0,michaka,24.0,！ぼたもち！,-30.0,ブサブスの子,-52.0
4位,21,2019-12-15 10:04:00,,灘波喜雨,55.0,泰天2017,21.0,！ぼたもち！,-26.0,BuBu,-50.0
4位,7,2019-12-15 13:05:00,,めがぱんだ,51.0,しょーんK,18.0,！ぼたもち！,-19.0,panda001,-50.0
4位,31,2019-12-15 13:13:00,,しょーんK,71.0,！ぼたもち！,22.0,long247,-32.0,根張雀,-61.0
4位,27,2019-12-15 15:07:00,,rinhana,48.0,京都東,8.0,！ぼたもち！,-17.0,遠山圭吾＠熊谷,-39.0
4位,35,2019-12-15 15:38:00,,！ぼたもち！,57.0,AIR4,3.0,nobu1231,-19.0,ヨッシー,-41.0
4位,15,2019-12-15 18:48:00,,yosue07,54.0,住吉,21.0,tamajan,-12.0,！ぼたもち！,-63.0
4位,31,2019-12-15 19:06:00,,終結者Ⅶ,74.0,hnts,3.0,eggplant,-27.0,！ぼたもち！,-50.0
4位,40,2019-12-16 09:59:00,,！ぼたもち！,77.0,suzulove,4.0,大化,-29.0,ああ稚内,-52.0
4位,9,2019-12-16 10:40:00,,sara@,56.0,Fumica,13.0,Creep555,-17.0,！ぼたもち！,-52.0
4位,32,2019-12-16 13:29:00,,くれっせんTO,58.0,！ぼたもち！,21.0,コーン@pkmn,-32.0,ハルマサ,-47.0
4位,36,2019-12-16 15:06:00,,tokky230,44.0,うっかり十兵衛,13.0,！ぼたもち！,-13.0,bun-chan,-44.0
4位,27,2019-12-16 16:17:00,,！ぼたもち！,62.0,STARBEAT,8.0,土佐堀２号,-27.0,みぁみぁ,-43.0
4位,22,2019-12-16 17:11:00,,！ぼたもち！,44.0,saKura24,12.0,ヨネヤマ,-23.0,戊,-33.0
4位,36,2019-12-16 23:49:00,,！ぼたもち！,60.0,牧瀬莉亜,24.0,魔王ではない寿人,-30.0,霞む夜風,-54.0
4位,17,2019-12-17 10:17:00,,！ぼたもち！,49.0,1496,14.0,まーさん,-26.0,南国土佐,-37.0
4位,32,2019-12-17 15:24:00,,kumakiyo,52.0,３８７青空,10.0,leewei,-20.0,！ぼたもち！,-42.0
4位,21,2019-12-17 17:18:00,,マツリカ,56.0,珊次郎,1.0,！ぼたもち！,-22.0,きっぴー,-35.0
4位,22,2019-12-17 23:00:00,,ぜっと,53.0,！ぼたもち！,6.0,yorumun,-18.0,サイモンメロン,-41.0
4位,48,2019-12-17 23:34:00,,ROYTOM,47.0,Shaboten,15.0,da1namo5,-7.0,！ぼたもち！,-55.0
4位,41,2019-12-18 09:51:00,,YuttYan,43.0,パリカモ,8.0,！ぼたもち！,-18.0,小新,-33.0
4位,27,2019-12-18 19:14:00,,ボア・ハンコック,42.0,流風子,5.0,TaiSeira,-16.0,！ぼたもち！,-31.0
4位,8,2019-12-19 00:18:00,,！ぼたもち！,47.0,Comp代打,13.0,りんごまる,-9.0,ソレルー,-51.0
4位,25,2019-12-19 00:27:00,,jzhenwei,56.0,ハシビロコウ物語,14.0,！ぼたもち！,-22.0,161616,-48.0
4位,6,2019-12-19 09:48:00,,みんとす,53.0,！ぼたもち！,17.0,bcd,-16.0,hoshi123,-54.0
4位,26,2019-12-19 09:57:00,https://tenhou.net/3/?log=2019121910gm-0089-0000-521788d2,コモ,70.0,晩雪渓,9.0,！ぼたもち！,-13.0,あふあふろ,-66.0
4位,22,2019-12-19 23:23:00,,kaichin8,71.0,chen.c,-3.0,A☆T☆M,-25.0,！ぼたもち！,-43.0
4位,36,2019-12-19 23:59:00,,マイコラス,81.0,島志摩,7.0,！ぼたもち！,-36.0,R@ssE,-52.0
4位,23,2019-12-20 13:55:00,,daptomyc,47.0,銃の達人,7.0,！ぼたもち！,-19.0,クッキングダンナ,-35.0
4位,10,2019-12-20 15:18:00,,！ぼたもち！,61.0,んぬえすき,17.0,オトヤマ,-27.0,下家の奴隷,-51.0
4位,17,2019-12-20 15:45:00,,toriniku,61.0,！ぼたもち！,10.0,たぁ坊ちゃん,-18.0,aji44,-53.0
4位,26,2019-12-20 16:37:00,,！ぼたもち！,55.0,allen,4.0,天才児,-23.0,佐久屋,-36.0
4位,29,2019-12-21 10:56:00,,M.T,53.0,！ぼたもち！,4.0,onnteddo,-23.0,メンホンチートイ,-34.0
