顺位,用时,开始时间,牌普,一号玩家,一位得点,二号玩家,二位得点,三号玩家,三位得点,四号玩家,四位得点
4位,18,2022-05-26 09:19:00,,！ぼたもち！,48.6,chumblew,13.0,ちゅうどく象さん,-17.9,吉永恋ちゃん,-43.7
4位,16,2022-05-26 11:48:00,,輪哭,68.0,！ぼたもち！,3.6,ふぁぎー,-24.8,tealight,-46.8
4位,34,2022-05-26 20:42:00,,！ぼたもち！,47.5,hayu0314,10.8,かもしんキッズ,-10.4,じゃいあん,-47.9
4位,15,2022-05-26 22:29:00,,masa3155,45.1,まとた,6.6,Ignite,-20.0,！ぼたもち！,-31.7
4位,15,2022-05-29 05:35:00,,陳陳珍,49.8,Kaji,4.4,！ぼたもち！,-19.2,東風のきゃぷさん,-35.0
4位,33,2022-06-01 13:55:00,,ぱちぱちばやち,46.6,凜P,6.0,！ぼたもち！,-15.1,ナチュラリスト,-37.5
4位,32,2022-06-02 07:31:00,,上原絵美,62.8,VmmEnjoy,6.3,！ぼたもち！,-17.0,Kネコ~ず,-52.1
4位,10,2022-06-02 19:32:00,,はるい,47.8,！ぼたもち！,6.4,帰る亭中野周辺,-17.6,どあどあうあうあ,-36.6
4位,34,2022-06-02 20:16:00,,！ぼたもち！,56.1,ゆーみん激推し,6.6,れんれん0907,-19.2,メンヘラななこ,-43.5
4位,8,2022-06-02 21:15:00,,M.ASAPIN,48.5,！ぼたもち！,6.2,元祖チクBぼーい,-20.0,れんれん0907,-34.7
4位,13,2022-06-03 07:50:00,,職業、風2,44.3,！ぼたもち！,7.0,爺☆星,-18.3,★めぐみん,-33.0
4位,12,2022-06-03 20:54:00,,！ぼたもち！,46.0,プラザ,4.5,「天」,-18.5,花びら大回転,-32.0
4位,11,2022-06-04 07:14:00,,！ぼたもち！,54.1,Krazy02,3.3,DarkNecr,-19.9,陳陳珍,-37.5
4位,9,2022-06-05 12:19:00,,！ぼたもち！,49.9,のぞみさん,6.1,デューン砂の惑星,-19.0,★罪と罰★,-37.0
4位,13,2022-06-05 19:51:00,,！ぼたもち！,48.8,シンボリルドルフ,8.3,756,-17.7,長岡高専,-39.4
4位,27,2022-06-06 14:49:00,,希望のジョー星,53.3,ageHa,3.7,tampopo3,-17.3,！ぼたもち！,-39.7
4位,41,2022-06-07 13:00:00,,俺です,47.9,！ぼたもち！,6.9,sregdor,-20.0,春雪,-34.8
4位,47,2022-06-07 16:08:00,,MGMGOne,44.7,！ぼたもち！,3.0,アンビしゃす,-18.1,tenten7,-29.6
4位,29,2022-06-08 14:04:00,,伊予柑太,51.1,！ぼたもち！,13.6,かぶきもん,-24.1,暁の女王,-40.6
4位,14,2022-06-08 20:12:00,,！ぼたもち！,40.2,黒人@くろんちゅ,7.5,瀬川絵里子,-16.8,まゆげ,-30.9
4位,45,2022-06-09 01:24:00,,！ぼたもち！,45.9,医師見習いedy,8.9,chatra,-22.2,スロース,-32.6
4位,38,2022-06-09 14:57:00,,凜P,43.5,！ぼたもち！,13.4,Fsight,-18.8,ルイジアナパパ,-38.1
4位,32,2022-06-09 16:48:00,,terru,48.2,とくｐ,5.9,ラルクアンシエル,-19.7,！ぼたもち！,-34.4
4位,24,2022-06-10 03:57:00,,kuroo,46.6,！ぼたもち！,3.7,ponponsn,-19.8,柊胡桃,-30.5
4位,25,2022-06-10 04:34:00,,ジュンにゃん様あ,59.3,kaji,17.9,俺クラスはダマ！,-26.3,！ぼたもち！,-50.9
4位,20,2022-06-10 08:28:00,,のぼるめばる,46.0,！ぼたもち！,7.9,えりおっと,-16.8,神代乃亜,-37.1
4位,11,2022-06-10 14:47:00,,corin,40.4,嶺上開花したい,7.7,ストック１９９８,-13.4,！ぼたもち！,-34.7
4位,46,2022-06-11 06:59:00,,阿修羅ベンダー,50.4,yatoro,2.9,ｄｆｇｊｈｋｊ,-18.6,！ぼたもち！,-34.7
4位,11,2022-06-11 22:27:00,,村井アマウリ,61.3,バッタ君,9.2,！ぼたもち！,-19.9,きよぺー,-50.6
4位,35,2022-06-12 19:26:00,,！ぼたもち！,59.9,≡MINI≡,4.6,がぶり寄り,-25.7,tama1956,-38.8
4位,19,2022-06-13 19:51:00,,爺☆星,41.7,暴力の赤ずきん,7.8,！ぼたもち！,-12.8,えいちゃん99,-36.7
4位,24,2022-06-14 11:08:00,,！ぼたもち！,52.5,日浦麦,21.5,ひよっちヒーロー,-21.2,lllm,-52.8
4位,38,2022-06-14 13:03:00,,夏日,41.1,bokki,9.5,！ぼたもち！,-13.5,ｄｆｇｊｈｋｊ,-37.1
4位,54,2022-06-14 16:09:00,,杉崎みさき,52.4,イーグル,4.8,！ぼたもち！,-20.3,ロータスランド,-36.9
4位,17,2022-06-14 23:03:00,,舌切り雀,42.1,ろっこうだ,8.8,！ぼたもち！,-18.3,ずまちゃんZ,-32.6
4位,13,2022-06-15 09:54:00,,ウキウキユッキー,49.2,！ぼたもち！,6.1,ryomozzz,-18.1,紫色のクオリア,-37.2
4位,34,2022-06-15 11:07:00,,星名咲良,43.6,萌,5.3,おなかぽんぽん,-16.6,！ぼたもち！,-32.3
4位,13,2022-06-15 22:07:00,,Maema13,42.3,たねぼー,7.7,ほろろ,-16.6,！ぼたもち！,-33.4
4位,10,2022-06-16 09:50:00,,へるむほるつ,46.5,！ぼたもち！,14.4,ぱぱむ,-16.7,マチタン単騎待ち,-44.2
4位,14,2022-06-16 22:58:00,,！ぼたもち！,53.9,ジェイ・カトラー,7.5,yurimog,-22.4,ギタリスト＠桜高,-39.0
4位,17,2022-06-17 01:07:00,,思いやりのこころ,42.8,こねこ,5.2,tino@社畜,-15.9,！ぼたもち！,-32.1
4位,22,2022-06-17 14:44:00,,！ぼたもち！,42.5,アウアウローラ,5.3,片山場況,-17.8,miyot,-30.0
4位,13,2022-06-17 19:54:00,,！ぼたもち！,52.6,【闇の違法ID】,4.9,ばっはさん3rd,-23.6,将棋競馬ブログ,-33.9
4位,22,2022-06-18 13:12:00,,！ぼたもち！,48.4,澤村珍念,14.5,S.N,-13.5,くうこ,-49.4
4位,30,2022-06-19 05:46:00,,！ぼたもち！,47.0,星名咲良,11.9,川瀬洋平,-18.5,t0a7ku23,-40.4
4位,14,2022-06-19 20:44:00,,！ぼたもち！,43.8,おとちゃんパパ,8.7,TBT,-14.1,くろ綿棒,-38.4
4位,8,2022-06-19 21:00:00,,日本列島スペア,48.4,！ぼたもち！,11.3,竿頭,-8.8,轟轟丸,-50.9
4位,16,2022-06-20 07:46:00,,叶,57.9,！ぼたもち！,11.0,どんどんのすけ,-24.7,bbzentsu,-44.2
4位,22,2022-06-20 13:41:00,,！ぼたもち！,59.4,GOBLIN,3.1,@ASAPIN@,-24.0,▲神様の遺伝子,-38.5
4位,9,2022-06-21 23:01:00,,！ぼたもち！,58.4,キュマイラ,10.2,黒人@くろんちゅ,-23.0,kai_4rj,-45.6
4位,23,2022-06-22 10:56:00,,微型雀士,74.7,多糖男web,1.9,スギゾー,-18.1,！ぼたもち！,-58.5
4位,23,2022-06-22 12:27:00,,！ぼたもち！,51.6,staray,12.0,いろはにほへと,-8.8,GOGO,-54.8
4位,17,2022-06-22 21:00:00,,小栗チュン,41.2,じんみょん,10.4,frenky21,-17.2,！ぼたもち！,-34.4
4位,27,2022-06-23 09:52:00,,北乃ゆな,53.1,！ぼたもち！,9.0,ジョン・ボウカー,-22.3,紅の暁伝説,-39.8
4位,39,2022-06-23 12:50:00,,！ぼたもち！,53.7,yskk5303,22.2,睦月,-25.4,清海湖,-50.5
4位,7,2022-06-23 20:51:00,,進化する猿,48.9,櫻の森の下を歩む,12.9,冬の桜,-10.7,！ぼたもち！,-51.1
4位,15,2022-06-24 07:22:00,,！ぼたもち！,52.0,福原遥と結婚する,8.0,ゆっきー,-24.6,馬英,-35.4
4位,9,2022-06-26 12:44:00,,くさみやちやか,52.1,！ぼたもち！,3.1,にゃはむ,-19.5,YASU零式改,-35.7
4位,14,2022-06-27 14:50:00,,7/2に生まれて,51.4,YU619,17.8,！ぼたもち！,-16.3,ペンカンサンワン,-52.9
4位,31,2022-06-28 12:48:00,,シノノメキョーコ,43.9,MASA6699,10.5,凜P,-9.8,！ぼたもち！,-44.6
4位,11,2022-06-28 16:06:00,,ゑも,41.7,！ぼたもち！,8.8,のじゅけん,-19.9,mihomiho,-30.6
4位,33,2022-06-29 00:23:00,,旧雀鬼,46.2,！ぼたもち！,9.4,daburyu-,-20.5,温暖化の気持ち,-35.1
4位,29,2022-06-29 11:27:00,,らべ,49.1,茶柱佐枝,16.1,！ぼたもち！,-13.5,Bellaris,-51.7
4位,17,2022-06-29 13:16:00,,！ぼたもち！,52.5,heroshe,2.7,S.N,-18.5,馬上有銭,-36.7
4位,15,2022-06-29 22:10:00,,キュー04,48.5,tama_tam,2.9,FINH,-17.3,！ぼたもち！,-34.1
4位,17,2022-06-30 13:18:00,,モチヲ,46.1,S.N,4.4,店長M,-19.9,！ぼたもち！,-30.6
4位,13,2022-06-30 21:52:00,,tyu_ei,44.1,！ぼたもち！,10.4,里木仁,-20.6,コウちゃん改,-33.9
4位,11,2022-07-01 11:42:00,,至高ノ面前派,52.6,！ぼたもち！,3.4,ご無礼にゃんこ,-18.1,紅い瞳の武丸,-37.9
4位,38,2022-07-01 12:41:00,,はしやすめ,56.6,猫氏,19.7,にゃん吉先生,-23.8,！ぼたもち！,-52.5
4位,19,2022-07-02 18:54:00,,れんれん0907,66.7,ustust,6.2,むらぼー,-21.5,！ぼたもち！,-51.4
4位,30,2022-07-02 20:04:00,,巴堂,48.7,れんれん0907,15.7,三色菫,-16.3,！ぼたもち！,-48.1
4位,17,2022-07-03 23:27:00,,茶柱佐枝,44.5,！ぼたもち！,13.3,白瀧小磯,-16.5,界王様,-41.3
4位,13,2022-07-05 16:22:00,,蛍烏賊,47.5,ユリス,14.2,ぴん・ω・じゃん,-24.2,！ぼたもち！,-37.5
4位,31,2022-07-07 15:49:00,,8B30,47.2,みーふー,10.5,まじゅにあ,-14.6,！ぼたもち！,-43.1
4位,15,2022-07-08 15:08:00,,ニャー助,54.7,＠キョウタ＠,17.0,土生瑞穂,-21.2,！ぼたもち！,-50.5
4位,19,2022-07-09 08:10:00,,wiere,43.2,！ぼたもち！,11.8,さーもん☆鮭次郎,-17.2,BajaBug,-37.8
4位,42,2022-07-09 20:02:00,,！ぼたもち！,54.7,eadma,24.3,久城瑠璃,-25.8,れんれん0907,-53.2
4位,42,2022-07-09 21:04:00,,まさあさ,52.9,kkkkkkkr,3.7,サクライ改,-18.4,！ぼたもち！,-38.2
4位,12,2022-07-13 14:55:00,,S.N,44.8,shodathi,7.0,びた☆びたお,-19.9,！ぼたもち！,-31.9
4位,32,2022-07-14 21:04:00,,！ぼたもち！,46.8,湘南桜もち,10.7,Wasse,-20.9,れんれん0907,-36.6
4位,16,2022-07-15 15:05:00,,HAIHUANo,45.8,chinu50,3.0,内田君,-18.5,！ぼたもち！,-30.3
4位,32,2022-07-17 11:41:00,,狭き門より入れ,47.1,！ぼたもち！,5.4,YuIto,-16.1,tomokich,-36.4
4位,11,2022-07-18 14:53:00,,あかいぱん,46.5,！ぼたもち！,12.6,中破妙高芸人,-20.4,ジークナオン☆,-38.7
4位,13,2022-07-20 14:23:00,,村上龍,62.0,かとうこなつ,16.1,！ぼたもち！,-33.1,うずまきナルト,-45.0
4位,11,2022-07-23 06:57:00,,！ぼたもち！,43.6,うずまきナルト,13.0,Indian,-22.0,ムッシュたそ,-34.6
4位,34,2022-07-30 20:51:00,,U吉,50.2,おっちょびだいじ,5.0,！ぼたもち！,-16.3,明日を担う者,-38.9
4位,36,2022-07-31 21:14:00,,ほえるおお,48.5,！ぼたもち！,10.2,fuji0512,-19.0,mini91,-39.7
4位,26,2022-07-31 23:03:00,,れんれん0907,69.7,！ぼたもち！,3.3,seitama,-22.4,596338,-50.6
4位,12,2022-08-01 08:05:00,,蓮蓮,46.0,！ぼたもち！,10.4,rikachan,-19.0,エスケー.,-37.4
4位,13,2022-08-01 13:34:00,,！ぼたもち！,44.4,bolick07,10.2,矛盾,-13.4,まろ吉,-41.2
4位,30,2022-08-02 21:16:00,,天和まだー？,46.8,！ぼたもち！,15.7,Noris,-17.6,しか茶,-44.9
4位,44,2022-08-03 06:46:00,,sebukich,50.9,Touk0,13.7,貫,-23.2,！ぼたもち！,-41.4
4位,23,2022-08-03 18:15:00,,MJアングラー,52.6,-愛宕絹恵-,5.9,！ぼたもち！,-16.0,ユーイット,-42.5
4位,20,2022-08-03 21:02:00,,！ぼたもち！,53.9,スズキン,12.3,ささやま,-20.4,れんれん0907,-45.8
4位,31,2022-08-03 21:33:00,,ボートピア,49.9,！ぼたもち！,16.6,こっこるう,-18.5,れんれん0907,-48.0
4位,15,2022-08-04 06:50:00,,はぐれメタボ,55.6,！ぼたもち！,23.2,kakiemon,-27.0,ハチヤチートイツ,-51.8
4位,12,2022-08-04 07:15:00,,！ぼたもち！,46.2,★めぐみん,4.0,46,-18.4,きょん0411x,-31.8
4位,24,2022-08-04 16:14:00,,kamenann,46.4,とちゃ,3.9,！ぼたもち！,-19.4,ジェイ・カトラー,-30.9
4位,22,2022-08-06 21:27:00,,れんれん0907,49.5,Red-Eye,9.8,！ぼたもち！,-20.6,ラーミア,-38.7
4位,28,2022-08-06 21:55:00,,れんれん0907,49.5,！ぼたもち！,9.6,Didi,-19.4,Emiya,-39.7
4位,18,2022-08-06 22:47:00,,40代派遣独身,42.3,れんれん0907,8.1,ねこかど,-15.2,！ぼたもち！,-35.2
4位,34,2022-08-07 10:08:00,,！ぼたもち！,49.9,krb,2.4,爆勝問題,-18.4,人生の夏休み,-33.9
4位,28,2022-08-07 11:16:00,,！ぼたもち！,51.1,友人E,16.4,強くないおZ,-26.0,黒ビール,-41.5
4位,42,2022-08-07 15:51:00,,ideco,58.5,raita999,12.3,ぽむ太郎,-20.7,！ぼたもち！,-50.1
4位,37,2022-08-07 17:49:00,,post6,43.6,草深費,11.8,T-META,-15.6,！ぼたもち！,-39.8
4位,30,2022-08-07 19:02:00,,！ぼたもち！,54.0,れんれん0907,7.6,MJのおかぴー,-24.3,孤独の鬱ね,-37.3
4位,23,2022-08-07 19:36:00,,！ぼたもち！,46.5,zero3,7.9,からあげグミ,-17.6,ゆがんだウガンダ,-36.8
4位,29,2022-08-07 20:04:00,,聖天使マイル,65.5,５１９ｋｋ,-3.8,！ぼたもち！,-25.0,桃っぺ,-36.7
4位,30,2022-08-07 20:41:00,,！ぼたもち！,59.0,仙猫カリン,9.8,humanlin,-19.8,れんれん0907,-49.0
4位,20,2022-08-08 00:46:00,,すれいか,56.9,chxcc,19.9,TabriSSS,-21.7,！ぼたもち！,-55.1
4位,31,2022-08-08 10:19:00,,！ぼたもち！,40.3,爆釣雀士,9.4,Tdpp,-13.1,takochi,-36.6
4位,38,2022-08-08 10:56:00,,風の中のすばる,59.1,れんれん0907,3.5,！ぼたもち！,-23.1,DetailK,-39.5
4位,25,2022-08-08 12:25:00,,！ぼたもち！,59.3,れんれん0907,7.5,ベジタブル４,-21.3,1.616,-45.5
4位,39,2022-08-08 13:02:00,,！ぼたもち！,67.1,阿修羅ベンダー,3.2,プロシュート兄貴,-19.7,momentum,-50.6
4位,34,2022-08-08 13:48:00,,クージョ,51.4,れんれん0907,1.4,白白白白,-21.2,！ぼたもち！,-31.6
4位,14,2022-08-08 16:20:00,,れんれん0907,41.4,逆,10.3,よーそろ,-15.1,！ぼたもち！,-36.6
4位,17,2022-08-08 18:34:00,,ドンチャック,46.3,！ぼたもち！,13.7,まちる,-9.3,れんれん0907,-50.7
4位,12,2022-08-08 19:00:00,,お猿バナナ,71.5,Kichiro,2.6,天国の門番,-21.7,！ぼたもち！,-52.4
4位,35,2022-08-08 19:34:00,,れんれん0907,56.3,！ぼたもち！,9.3,さと５００,-15.6,hoihoi,-50.0
4位,28,2022-08-08 20:37:00,,ija76,54.9,れんれん0907,10.5,！ぼたもち！,-14.8,@waka,-50.6
4位,23,2022-08-08 21:12:00,,ｙｋ,57.5,！ぼたもち！,26.8,鷹観視,-30.3,1taro,-54.0
4位,28,2022-08-09 00:12:00,,れんれん0907,48.6,ベニどん,13.8,！ぼたもち！,-11.2,てなる,-51.2
4位,50,2022-08-09 00:43:00,,！ぼたもち！,70.4,けんしろー,0.3,瀬戸内の雄,-27.0,pomu,-43.7
4位,22,2022-08-09 12:12:00,,！ぼたもち！,40.3,某大職員,9.1,いとさん,-19.2,みずですね,-30.2
4位,29,2022-08-09 19:37:00,,れんれん0907,55.1,age3048,12.1,重ね,-27.4,！ぼたもち！,-39.8
4位,19,2022-08-09 20:09:00,,温泉でゆっくり,59.0,！ぼたもち！,9.6,たこはち,-20.5,Murdoch,-48.1
4位,30,2022-08-09 20:42:00,,！ぼたもち！,59.8,つむるぎ,15.5,やくしまるえつこ,-22.7,れんれん0907,-52.6
4位,36,2022-08-09 22:28:00,,！ぼたもち！,45.4,Y.SANO,11.3,けんしろー,-17.6,れんれん0907,-39.1
4位,33,2022-08-10 00:39:00,,国士のてんちょ,41.3,！ぼたもち！,6.1,コンコルド,-14.3,ホちゃん,-33.1
4位,34,2022-08-10 10:43:00,,！ぼたもち！,44.3,シャオハイ,7.3,ヌマッチさん,-16.0,humanlin,-35.6
4位,28,2022-08-10 11:57:00,,hrw128,43.5,れんれん0907,9.8,！ぼたもち！,-18.1,k.kben,-35.2
4位,25,2022-08-10 14:32:00,,！ぼたもち！,52.2,監督康正,9.3,00010001,-14.4,れんれん0907,-47.1
4位,29,2022-08-10 22:40:00,,設定1,53.4,れんれん0907,11.1,！ぼたもち！,-12.2,白糸の滝,-52.3
4位,7,2022-08-10 23:19:00,,豊後弥生,41.0,おれし,5.1,ロロの環,-15.9,！ぼたもち！,-30.2
4位,35,2022-08-10 23:52:00,,！ぼたもち！,46.4,ひみてん,9.0,ギリギリ名古屋市,-13.8,れんれん0907,-41.6
4位,27,2022-08-11 10:45:00,,Y.SANO,56.3,！ぼたもち！,3.3,りょや,-19.0,RICH,-40.6
4位,28,2022-08-11 17:03:00,,ayn_DA,52.2,！ぼたもち！,8.2,Hatiora,-23.0,プロデュー西,-37.4
4位,13,2022-08-11 18:42:00,,Run2,46.2,！ぼたもち！,13.6,nako太郎,-8.3,東京ガンダム,-51.5
4位,17,2022-08-11 18:59:00,,れんれん0907,43.6,TENSEI,7.7,ドラ20,-16.0,！ぼたもち！,-35.3
4位,42,2022-08-11 19:19:00,,！ぼたもち！,63.5,あかめぶち,19.3,れんれん0907,-35.4,としっち,-47.4
4位,37,2022-08-12 17:40:00,,YouJyou,68.0,！ぼたもち！,16.2,第六天Maoh,-35.7,HACO,-48.5
4位,25,2022-08-12 19:29:00,,！ぼたもち！,47.6,アタオカさん,5.8,カミナリ,-21.2,釣り人亦野誠子,-32.2
4位,28,2022-08-12 21:23:00,,普魯斯特,40.1,！ぼたもち！,6.3,nowriver,-15.3,パブろん,-31.1
4位,25,2022-08-13 03:45:00,,！ぼたもち！,44.9,けんしん７７,11.3,pikanyan,-22.6,パイナップルル,-33.6
4位,32,2022-08-13 11:25:00,,！ぼたもち！,42.0,fireMan,12.0,キングKクルール,-20.9,どっこい章一,-33.1
4位,12,2022-08-13 12:56:00,,！ぼたもち！,44.6,至高ノ面前派,4.0,ホモ.サピエンス,-18.3,川流,-30.3
4位,37,2022-08-13 16:19:00,,ミスティコ,42.7,！ぼたもち！,8.8,夢遊病ジェシカ,-11.8,yuuuuto,-39.7
4位,27,2022-08-14 00:26:00,,！ぼたもち！,43.2,れんれん0907,7.9,rikataya,-14.1,kiyo.i,-37.0
4位,25,2022-08-15 10:36:00,http://tenhou.net/0/?log=2022081511gm-00a9-0000-ac64d498,！ぼたもち！,65.4,ひぐち,-0.1,未来少年,-27.2,古味,-38.1
4位,11,2022-08-16 11:25:00,http://tenhou.net/0/?log=2022081612gm-00e1-0000-94dc1a79,ips戦士,52.0,takuaka,3.3,かわちゃん58,-18.0,！ぼたもち！,-37.3
4位,9,2022-08-16 14:26:00,http://tenhou.net/0/?log=2022081615gm-00e1-0000-888debe6,！ぼたもち！,48.7,takuaka,15.9,rak3,-19.5,長門は俺の嫁,-45.1
4位,18,2022-08-16 14:36:00,http://tenhou.net/0/?log=2022081615gm-00e1-0000-85f6f86f,！ぼたもち！,43.7,rak3,8.4,夏はそうめん,-13.2,みみず,-38.9
4位,34,2022-08-17 09:49:00,http://tenhou.net/0/?log=2022081710gm-00a9-0000-162021d4,ボイロ将棋部員,48.0,WishArt,16.5,！ぼたもち！,-18.5,もりもりおにぎり,-46.0
4位,31,2022-08-18 00:41:00,http://tenhou.net/0/?log=2022081801gm-00a9-0000-e0b2e778,星竹肉パセリ,47.3,！ぼたもち！,13.6,雲のフドウ,-15.6,ひぐち,-45.3
4位,16,2022-08-18 09:12:00,http://tenhou.net/0/?log=2022081810gm-00a9-0000-401ac0a8,！ぼたもち！,99.0,葵ちゃん,-7.6,ねこぱんち,-29.6,RYO@SS,-61.8
4位,33,2022-08-18 14:18:00,http://tenhou.net/0/?log=2022081815gm-00a9-0000-688bdf1b,西船橋メトロピア,41.6,Reagenz,7.1,！ぼたもち！,-15.3,俺TUEEEEE,-33.4
4位,29,2022-08-18 16:15:00,http://tenhou.net/0/?log=2022081817gm-00a9-0000-39a26dc2,圧倒的ポン,46.9,ヤナリンスキー,2.6,Monana,-19.6,！ぼたもち！,-29.9
4位,8,2022-08-18 22:19:00,http://tenhou.net/0/?log=2022081823gm-00e1-0000-4d35f23b,！ぼたもち！,51.8,藤岡幹大,2.5,夏はそうめん,-19.9,rak3,-34.4
4位,30,2022-08-20 10:02:00,http://tenhou.net/0/?log=2022082011gm-00a9-0000-e55f38b7,！ぼたもち！,46.2,きいな,15.0,Toru,-13.9,tabeo,-47.3
4位,32,2022-08-20 22:44:00,http://tenhou.net/0/?log=2022082023gm-00a9-0000-1a4621d5,！ぼたもち！,62.6,辛口カレーライス,2.8,じん13,-21.4,ナカにし,-44.0
4位,53,2022-08-21 07:03:00,http://tenhou.net/0/?log=2022082108gm-00a9-0000-cedc84e7,Kitamura,40.2,！ぼたもち！,6.8,菅田将暉(偽物),-17.7,FFToyGH,-29.3
4位,10,2022-08-21 16:41:00,http://tenhou.net/0/?log=2022082117gm-00e1-0000-bd6b1098,みみず,42.9,Monana,4.9,闘将だんでぃ,-15.9,！ぼたもち！,-31.9
4位,20,2022-08-21 22:47:00,http://tenhou.net/0/?log=2022082123gm-00a9-0000-fa7c7029,こんにゃく大臣,61.8,まこたろす,16.9,mymeloXX,-26.6,！ぼたもち！,-52.1
4位,21,2022-08-22 06:51:00,http://tenhou.net/0/?log=2022082207gm-00a9-0000-81818817,！ぼたもち！,56.1,④センチ,8.5,PeterPan,-12.1,tyaso,-52.5
4位,42,2022-08-23 15:30:00,http://tenhou.net/0/?log=2022082316gm-00a9-0000-6ddc0424,！ぼたもち！,50.3,立即是空,8.3,sorasi,-19.9,せどなりあん,-38.7
4位,33,2022-08-23 20:44:00,http://tenhou.net/0/?log=2022082321gm-00a9-0000-545273a5,あぜ,43.0,にょほにょホ,5.4,！ぼたもち！,-14.8,M本,-33.6
4位,38,2022-08-23 23:07:00,http://tenhou.net/0/?log=2022082400gm-00a9-0000-7637d5f8,貴族系雀士,43.5,Emiu,6.6,hzc,-20.0,！ぼたもち！,-30.1
4位,37,2022-08-24 10:03:00,http://tenhou.net/0/?log=2022082411gm-00a9-0000-9d6ee3be,椛南,48.6,立即是空,16.7,！ぼたもち！,-23.1,hihihiji,-42.2
4位,14,2022-08-24 22:08:00,http://tenhou.net/0/?log=2022082423gm-00e1-0000-2a4be9a4,7/2に生まれて,55.0,かわちゃん58,7.4,！ぼたもち！,-21.3,藁ワラ笑wrwr,-41.1
4位,20,2022-08-25 00:54:00,http://tenhou.net/0/?log=2022082501gm-00a9-0000-de09950b,.Sai,51.7,！ぼたもち！,10.3,いのは,-20.9,yahironn,-41.1
4位,16,2022-08-25 08:06:00,http://tenhou.net/0/?log=2022082509gm-00a9-0000-e6a4aa21,FFToyGH,59.2,いのは,13.8,！ぼたもち！,-14.6,トシフーニ,-58.4
4位,25,2022-08-25 14:04:00,http://tenhou.net/0/?log=2022082515gm-00a9-0000-9e477c87,！ぼたもち！,56.0,リップルラップル,9.8,超絶備長炭,-18.8,圧倒的ポン,-47.0
4位,18,2022-08-25 20:21:00,http://tenhou.net/0/?log=2022082521gm-00a9-0000-bbf17d0f,釣り日和,67.3,！ぼたもち！,7.2,３番ショート坂田,-23.8,亮流打者,-50.7
4位,30,2022-08-25 23:51:00,http://tenhou.net/0/?log=2022082600gm-00a9-0000-f3db61ed,！ぼたもち！,43.7,むらびと,5.2,辛口カレーライス,-16.3,火雷神,-32.6
4位,30,2022-08-26 06:50:00,http://tenhou.net/0/?log=2022082607gm-00a9-0000-fccd2b5b,MJ最強位,42.1,！ぼたもち！,9.9,しらいしまい,-18.2,洪水橋A34,-33.8
4位,24,2022-08-27 06:49:00,http://tenhou.net/0/?log=2022082707gm-00a9-0000-c91ffd97,幸運の獅子,43.4,！ぼたもち！,10.8,きゃーろん,-19.6,ぴえにん,-34.6
4位,17,2022-08-27 22:24:00,http://tenhou.net/0/?log=2022082723gm-00e1-0000-32549913,Monana,46.5,しらいしまい,4.1,ラスカル5,-19.1,！ぼたもち！,-31.5
4位,29,2022-08-28 20:11:00,http://tenhou.net/0/?log=2022082821gm-00a9-0000-c4fc4a31,！ぼたもち！,48.5,スマホあざらし,8.6,00sai,-17.1,COEDO緑,-40.0
4位,17,2022-08-28 22:04:00,http://tenhou.net/0/?log=2022082823gm-00a9-0000-cd9ebb34,！ぼたもち！,53.1,是我痛,16.5,kirariyu,-18.9,俺だけ即裏無し,-50.7
4位,27,2022-08-29 05:48:00,http://tenhou.net/0/?log=2022082906gm-00a9-0000-6a6c6e0e,！ぼたもち！,57.9,えびまよん,7.9,洪水橋A34,-15.7,ねこぱんち,-50.1
4位,33,2022-08-29 07:54:00,http://tenhou.net/0/?log=2022082908gm-00a9-0000-3f21f9f6,エコエコスモーキ,45.5,超絶備長炭,12.2,！ぼたもち！,-14.2,かづきＸＩ,-43.5
4位,14,2022-08-31 17:48:00,http://tenhou.net/0/?log=2022083118gm-00e1-0000-bc29fe9c,うーぱー,47.3,！ぼたもち！,6.0,岸明日香,-21.4,ゼルダの伝説,-31.9
4位,23,2022-09-01 06:59:00,http://tenhou.net/0/?log=2022090107gm-00a9-0000-a40812c9,！ぼたもち！,47.2,Wataru_M,7.3,愚兄が愚形,-21.7,④センチ,-32.8
4位,19,2022-09-01 07:24:00,http://tenhou.net/0/?log=2022090108gm-00e1-0000-40075cdb,！ぼたもち！,43.3,きゃーろん,9.8,ぞの,-16.3,夏はそうめん,-36.8
4位,25,2022-09-01 17:08:00,http://tenhou.net/0/?log=2022090118gm-00a9-0000-718c9ea9,Sほいほい,49.9,Gowo,7.6,soldier5,-23.1,！ぼたもち！,-34.4
4位,22,2022-09-02 06:43:00,http://tenhou.net/0/?log=2022090207gm-00a9-0000-b283e060,TeraP,49.3,SilenT,17.4,ノオチャベス,-25.8,！ぼたもち！,-40.9
4位,14,2022-09-03 09:52:00,http://tenhou.net/0/?log=2022090310gm-00e1-0000-9ac2f9bf,優@ABC,46.8,！ぼたもち！,6.0,マカヒキ,-14.7,レイトン准教授,-38.1
4位,28,2022-09-04 06:47:00,http://tenhou.net/0/?log=2022090407gm-00a9-0000-5bb5bf56,鳳南のぶたさん,61.0,雪の華,0.5,！ぼたもち！,-23.9,留チョロ,-37.6
4位,23,2022-09-05 06:53:00,http://tenhou.net/0/?log=2022090507gm-00a9-0000-dda4e3f5,鳳南のぶたさん,52.6,Kate1999,6.7,すれいか,-18.8,！ぼたもち！,-40.5
